adequate_n,and_k,and_lcb,and_rate,eligible,env,gamma,meta_k,onset_n,onset_rate,or_k,or_lcb,or_rate,r_pass,r_strong,rec_k,robust_and_pass,robust_or_pass,sweep_id,theta_lead,theta_rec
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.1,0.05,0,False,False,1,0.0,0.0
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.1,0.05,0,False,False,1,0.0,0.0
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,27,0.8878674959110234,0.9642857142857143,0.1,0.05,10,True,True,1,0.0,0.0
82,16,0.15290477174457925,0.20512820512820512,True,EnvA_grid,0.25,64,78,0.9512195121951219,68,0.8155102698885641,0.8717948717948718,0.1,0.05,20,True,True,1,0.0,0.0
64,15,0.173687095497826,0.234375,True,EnvA_grid,0.0,51,64,1.0,55,0.7946652982505275,0.859375,0.1,0.05,19,True,True,1,0.0,0.0
97,18,0.29751894235568155,0.3829787234042553,True,EnvB_continuous,1.0,41,47,0.4845360824742268,45,0.9018243762676434,0.9574468085106383,0.1,0.05,22,True,True,1,0.0,0.0
99,20,0.3225805677555239,0.40816326530612246,True,EnvB_continuous,0.75,35,49,0.494949494949495,39,0.7131100435265598,0.7959183673469388,0.1,0.05,24,True,True,1,0.0,0.0
100,11,0.1400331747986407,0.2,True,EnvB_continuous,0.5,21,55,0.55,29,0.44146467540311923,0.5272727272727272,0.1,0.05,19,True,True,1,0.0,0.0
100,1,0.005262467184461907,0.017543859649122806,True,EnvB_continuous,0.25,8,57,0.57,15,0.19580020168294265,0.2631578947368421,0.1,0.05,8,False,True,1,0.0,0.0
100,0,nan,nan,False,EnvB_continuous,0.0,0,0,0.0,0,nan,nan,0.1,0.05,0,False,False,1,0.0,0.0
100,0,nan,nan,False,EnvA_grid,1.0,0,0,0.0,0,nan,nan,0.1,0.05,0,False,False,2,0.0,-0.05
95,0,nan,nan,False,EnvA_grid,0.75,0,0,0.0,0,nan,nan,0.1,0.05,0,False,False,2,0.0,-0.05
91,10,0.25199396734619806,0.35714285714285715,True,EnvA_grid,0.5,27,28,0.3076923076923077,28,0.9445936958778129,1.0,0.1,0.05,11,True,True,2,0.0,-0.05
